user,docid,page,corrupted,tableType,location,number,content,qualifiers
auto,20621900,1,false,na,Col,1,characteristic_level;characteristic_name,indent;empty_row
auto,20621900,1,false,na,Col,1,characteristic_level,bold;empty_row
auto,20621900,1,false,na,Row,1,characteristic_level;measures,
auto,20621900,1,false,na,Row,2,arms,
auto,20644019,1,false,na,Row,1,measures,
auto,20678674,2,false,na,Col,1,measures,
auto,20678674,2,false,na,Row,1,arms,
auto,20678674,2,false,na,Row,2,characteristic_level,
auto,20801495,1,false,na,Col,1,characteristic_level,
auto,20801495,1,false,na,Col,1,characteristic_name,empty_row
auto,20953684,2,false,na,Col,2,measures;outcomes,
auto,20953684,2,false,na,Col,1,characteristic_level,italic;empty_row
auto,20953684,2,false,na,Col,1,characteristic_level,empty_row
auto,20953684,2,false,na,Row,2,arms,
auto,20953684,2,false,na,Row,3,measures,
auto,20979470,3,false,na,Col,1,characteristic_level,empty_row
auto,20979470,3,false,na,Col,1,characteristic_level,indent;
auto,20979470,3,false,na,Col,1,characteristic_level,indent;empty_row
auto,20979470,3,false,na,Row,1,arms;p-interaction,
auto,20979470,3,false,na,Row,2,measures,
auto,20979470,3,false,na,Row,11,characteristic_level,
auto,21045096,1,false,na,Col,1,characteristic_level,
auto,21045096,1,false,na,Row,1,arms;measures,
auto,21060071,1,false,na,Col,1,characteristic_level,
auto,21060071,1,false,na,Row,1,arms,
auto,21128814,1,false,na,Col,1,characteristic_level,indent;
auto,21128814,1,false,na,Col,1,characteristic_level,indent;empty_row
auto,21128814,1,false,na,Row,2,arms,
auto,21128814,3,false,na,Col,1,characteristic_level;characteristic_name,
auto,21128814,3,false,na,Row,1,characteristic_level,
auto,21147728,1,false,na,Col,1,characteristic_level,
auto,21147728,1,false,na,Row,1,measures;characteristic_level,
auto,21147728,2,false,na,Col,1,characteristic_level;characteristic_name,empty_row
auto,21147728,2,false,na,Col,1,measures;characteristic_level,indent;
auto,21147728,2,false,na,Row,2,measures,
